date,closing,adjusted,evolution,quantity,volume
07/12/2020,"81,25","81,25","-0,85",550,"44612,5"
08/12/2020,"80,00","80,00","-1,54",1977,"158169,1"
09/12/2020,"80,00","80,00","0,00",463,"36923,8"
10/12/2020,"80,00","80,00","0,00",450,36030
11/12/2020,"80,00","80,00","0,00",872,70260
14/12/2020,"80,00","80,00","0,00",319,25570
15/12/2020,"80,50","80,50","0,63",910,73150
16/12/2020,"80,50","80,50","0,00",0,0
17/12/2020,"83,00","83,00","3,11",16739,"1373807,31"
18/12/2020,"82,90","82,90","-0,12",2200,182497
21/12/2020,"80,40","80,40","-3,02",1855,"149029,69"
22/12/2020,"80,20","80,20","-0,25",100,8020
23/12/2020,"81,80","81,80","2,00",8500,"680788,73"
24/12/2020,"82,00","82,00","0,24",9350,"749334,78"
25/12/2020,"79,60","79,60","-2,93",26337,"2139016,27"
28/12/2020,"81,00","81,00","1,76",650,52650
29/12/2020,"80,50","80,50","-0,62",174,"13999,05"
30/12/2020,"82,00","82,00","1,86",9475,"770880,6"
31/12/2020,"82,00","82,00","0,00",7560,"619875,9"
04/01/2021,"82,00","82,00","0,00",0,0
05/01/2021,"82,00","82,00","0,00",1000,82000
06/01/2021,"81,00","81,00","-1,22",432,"34990,22"
07/01/2021,"80,70","80,70","-0,37",100,"8095,74"
08/01/2021,"81,00","81,00","0,37",48,"3888,23"
12/01/2021,"82,00","82,00","1,23",75,"6124,15"
13/01/2021,"81,00","81,00","-1,22",220,"17822,75"
14/01/2021,"81,00","81,00","0,00",15,"1215,05"
15/01/2021,"81,90","81,90","1,11",850,"69486,68"
18/01/2021,"80,01","80,01","-2,31",40,"3224,05"
19/01/2021,"80,00","80,00","-0,01",44598,3577840
20/01/2021,"80,00","80,00","0,00",1100,"87620,5"
21/01/2021,"80,99","80,99","1,24",1425,"113237,16"
22/01/2021,"77,77","77,77","-3,98",26429,"2058435,28"
25/01/2021,"79,00","79,00","1,58",157,"12417,6"
26/01/2021,"78,44","78,44","-0,71",73910,"5908685,6"
27/01/2021,"78,00","78,00","-0,56",1759,"137682,13"
28/01/2021,"79,97","79,97","2,53",6021,"473010,97"
29/01/2021,"79,10","79,10","-1,09",5742,"454995,86"
01/02/2021,"79,00","79,00","-0,13",235,"18606,04"
02/02/2021,"79,00","79,00","0,00",1754,"138378,19"
03/02/2021,"78,15","78,15","-1,08",183,"14454,45"
04/02/2021,"81,00","81,00","3,65",1600,"127944,1"
05/02/2021,"80,00","80,00","-1,23",3101,248081
08/02/2021,"80,89","80,89","1,11",63,"5095,44"
09/02/2021,"80,05","80,05","-1,04",17093,"1368294,65"
10/02/2021,"81,00","81,00","1,19",241,"19493,2"
11/02/2021,"80,01","80,01","-1,22",60,"4803,48"
12/02/2021,"81,00","81,00","1,24",350,28350
15/02/2021,"79,30","79,30","-2,10",40,3172
16/02/2021,"79,53","79,53","0,29",20060,"1594770,6"
17/02/2021,"79,41","79,41","-0,15",2780,"220930,05"
18/02/2021,"79,80","79,80","0,49",240,19149
19/02/2021,"79,80","79,80","0,00",352,"28044,1"
22/02/2021,"77,00","77,00","-3,51",159,"12390,52"
23/02/2021,"77,64","77,64","0,83",7920,"615559,6"
24/02/2021,"78,50","78,50","1,11",170,13329
25/02/2021,"78,50","78,50","0,00",0,0
26/02/2021,"79,60","79,60","1,40",722,"56523,45"
01/03/2021,"79,60","79,60","0,00",0,0
02/03/2021,"77,56","77,56","-2,56",20,"1551,2"
03/03/2021,"79,48","79,48","2,48",220,"17212,45"
04/03/2021,"79,50","79,50","0,03",256,"20088,2"
05/03/2021,"79,50","79,50","0,00",0,0
08/03/2021,"79,50","79,50","0,00",0,0
09/03/2021,"79,50","79,50","0,00",125,"9937,5"
10/03/2021,"79,10","79,10","-0,50",60,4746
11/03/2021,"79,10","79,10","0,00",0,0
12/03/2021,"79,40","79,40","0,38",4521,"358743,46"
15/03/2021,"78,20","78,20","-1,51",700,"54748,18"
16/03/2021,"78,02","78,02","-0,23",1860,"145593,22"
17/03/2021,"80,00","80,00","2,54",1645,"130871,8"
18/03/2021,"80,50","80,50","0,63",301,"24290,5"
19/03/2021,"83,71","83,71","3,99",2117,"177214,07"
22/03/2021,"87,05","87,05","3,99",152119,"13241958,95"
23/03/2021,"90,53","90,53","4,00",27431,"2483328,43"
24/03/2021,"90,00","90,00","-0,59",115823,"10422836,1"
25/03/2021,"90,00","90,00","0,00",141,"12596,31"
26/03/2021,"90,99","90,99","1,10",15016,"1364823,18"
29/03/2021,"91,00","91,00","0,01",11829,"1070960,23"
30/03/2021,"91,97","91,97","1,07",2938,"268756,48"
31/03/2021,"91,90","91,90","-0,08",400,36488
01/04/2021,"91,49","91,49","-0,45",2704,"244230,14"
02/04/2021,"91,44","91,44","-0,05",22490,2034937
05/04/2021,"90,50","90,50","-1,03",2705,"244771,35"
06/04/2021,"91,80","91,80","1,44",325,29811
07/04/2021,"90,31","90,31","-1,62",1624,"147255,14"
08/04/2021,"90,32","90,32","0,01",120,"10838,2"
09/04/2021,"91,00","91,00","0,75",500,45500
12/04/2021,"91,00","91,00","0,00",1385,"125569,71"
13/04/2021,"90,88","90,88","-0,13",105,"9522,6"
14/04/2021,"91,00","91,00","0,13",38734,"3524335,64"
15/04/2021,"91,00","91,00","0,00",110,10010
16/04/2021,"90,52","90,52","-0,53",955,"86398,85"
19/04/2021,"90,31","90,31","-0,23",20,"1806,2"
20/04/2021,"91,00","91,00","0,76",755,68555
21/04/2021,"93,00","93,00","2,20",70660,6571221
22/04/2021,"93,00","93,00","0,00",31546,"2933767,4"
23/04/2021,"92,00","92,00","-1,08",4795,"441160,25"
26/04/2021,"91,20","91,20","-0,87",639,"58276,55"
27/04/2021,"92,00","92,00","0,88",41051,"3776555,5"
28/04/2021,"93,00","93,00","1,09",1149,106708
29/04/2021,"94,00","94,00","1,08",6170,"575385,5"
30/04/2021,"93,50","93,50","-0,53",2917,"274292,5"
03/05/2021,"93,50","93,50","0,00",250,23259
04/05/2021,"93,50","93,50","0,00",45781,"4280773,7"
05/05/2021,"94,70","94,70","1,28",555,51936
06/05/2021,"95,00","95,00","0,32",6971,"659338,47"
07/05/2021,"94,70","94,70","-0,32",13955,"1322103,75"
10/05/2021,"93,99","93,99","-0,75",1532,"144071,05"
11/05/2021,"93,00","93,00","-1,05",14643,"1366811,5"
12/05/2021,"93,50","93,50","0,54",4781,"445607,11"
17/05/2021,"94,98","94,98","1,58",1229,"116311,9"
18/05/2021,"94,70","94,70","-0,29",430,40631
19/05/2021,"94,73","94,73","0,03",60148,"5680971,26"
20/05/2021,"94,30","94,30","-0,45",36164,"3431074,36"
21/05/2021,"93,60","93,60","-0,74",988,"92483,05"
24/05/2021,"94,96","94,96","1,45",15251,"1441770,2"
25/05/2021,"94,70","94,70","-0,27",415,"39268,5"
26/05/2021,"95,50","95,50","0,84",10357,"982827,53"
27/05/2021,"94,15","94,15","-1,41",13132,"1246517,6"
28/05/2021,"95,00","95,00","0,90",12558,"1191242,6"
31/05/2021,"95,00","95,00","0,00",1836,"176296,23"
01/06/2021,"95,50","95,50","0,53",26022,"2505947,79"
02/06/2021,"96,50","96,50","1,05",103,"9913,05"
03/06/2021,"98,50","98,50","2,07",4062,"395966,51"
04/06/2021,"98,45","98,45","-0,05",2802,"275459,15"
07/06/2021,"98,00","98,00","-0,46",1037,"101827,16"
08/06/2021,"97,00","97,00","-1,02",45849,"4469975,2"
09/06/2021,"93,01","93,01","0,55",32790,"3090060,71"
10/06/2021,"93,00","93,00","-0,01",31577,"2936684,39"
11/06/2021,"94,45","94,45","1,56",7246,"674387,75"
14/06/2021,"94,00","94,00","-0,48",24526,"2302737,04"
15/06/2021,"93,20","93,20","-0,85",1897,"178273,05"
16/06/2021,"94,49","94,49","1,38",10713,"1006507,1"
17/06/2021,"94,39","94,39","-0,11",10086,"951023,62"
18/06/2021,"94,00","94,00","-0,41",14361,"1348091,76"
21/06/2021,"93,94","93,94","-0,06",1606,"149367,62"
22/06/2021,"92,56","92,56","-1,47",1259,"117397,37"
23/06/2021,"94,00","94,00","1,56",3640,"341556,82"
24/06/2021,"93,10","93,10","-0,96",90,8377
25/06/2021,"90,00","90,00","-3,33",29262,"2708281,47"
28/06/2021,"92,00","92,00","2,22",220,20168
29/06/2021,"92,00","92,00","0,00",4552,"417977,25"
30/06/2021,"93,00","93,00","1,09",405,37648
01/07/2021,"92,52","92,52","-0,52",1884,"174459,82"
