date,closing,adjusted,evolution,quantity,volume
20/07/2020,"1000,00","1000,00","0,00",1,1000
21/07/2020,"1004,00","1004,00","0,40",1,1004
22/07/2020,"1005,00","1005,00","0,10",1,1005
23/07/2020,"1001,00","1001,00","-0,40",2,2002
24/07/2020,"1005,00","1005,00","0,40",1,1005
27/07/2020,"1009,00","1009,00","0,40",1,1009
28/07/2020,"1009,00","1009,00","0,00",1,1009
29/07/2020,"1009,00","1009,00","0,00",1,1009
03/08/2020,"1029,00","1029,00","1,98",48,49384
04/08/2020,"1028,00","1028,00","-0,10",1,1028
05/08/2020,"1017,00","1017,00","3,99",5,5085
06/08/2020,"990,00","990,00","-2,65",10,9900
07/08/2020,"1001,00","1001,00","1,11",1,1001
10/08/2020,"1004,00","1004,00","0,30",1,1004
11/08/2020,"1005,00","1005,00","0,10",1,1005
12/08/2020,"1005,00","1005,00","0,00",1,1005
13/08/2020,"1005,00","1005,00","0,00",1,1005
17/08/2020,"1005,00","1005,00","0,00",1,1005
18/08/2020,"1004,00","1004,00","-0,10",1,1004
19/08/2020,"1005,00","1005,00","0,10",1,1005
24/08/2020,"1005,00","1005,00","0,00",1,1005
25/08/2020,"1005,00","1005,00","0,00",1,1005
26/08/2020,"1005,00","1005,00","0,00",1,1005
27/08/2020,"1005,00","1005,00","0,00",1,1005
28/08/2020,"1005,00","1005,00","0,00",1,1005
31/08/2020,"1005,00","1005,00","0,00",1,1005
01/09/2020,"1005,00","1005,00","0,00",1,1005
02/09/2020,"986,00","986,00","-1,89",18,17751
03/09/2020,"995,00","995,00","0,91",1,995
04/09/2020,"1000,00","1000,00","0,50",1,1000
07/09/2020,"1005,00","1005,00","0,50",1,1005
08/09/2020,"1005,00","1005,00","0,00",1,1005
09/09/2020,"1005,00","1005,00","0,00",1,1005
10/09/2020,"1005,00","1005,00","0,00",1,1005
11/09/2020,"1005,00","1005,00","0,00",127,127635
14/09/2020,"1005,00","1005,00","0,00",1,1005
15/09/2020,"1005,00","1005,00","0,00",1,1005
16/09/2020,"1005,00","1005,00","0,00",1,1005
17/09/2020,"1005,00","1005,00","0,00",1,1005
18/09/2020,"1005,00","1005,00","0,00",1,1005
21/09/2020,"1005,00","1005,00","0,00",1,1005
22/09/2020,"1005,00","1005,00","0,00",1,1005
23/09/2020,"986,00","986,00","-1,89",6,5919
24/09/2020,"994,00","994,00","0,81",1,994
25/09/2020,"999,00","999,00","0,50",1,999
28/09/2020,"1005,00","1005,00","0,60",1,1005
29/09/2020,"1005,00","1005,00","0,00",1,1005
30/09/2020,"1005,00","1005,00","0,00",1,1005
01/10/2020,"1005,00","1005,00","0,00",1,1005
02/10/2020,"1005,00","1005,00","0,00",1,1005
05/10/2020,"1045,00","1045,00","3,98",130,132735
06/10/2020,"1045,00","1045,00","0,00",1,1045
07/10/2020,"1045,00","1045,00","0,00",1,1045
08/10/2020,"1045,00","1045,00","0,00",1,1045
09/10/2020,"1045,00","1045,00","0,00",1,1045
12/10/2020,"1045,00","1045,00","0,00",1,1045
13/10/2020,"1045,00","1045,00","0,00",1,1045
14/10/2020,"1045,00","1045,00","0,00",1,1045
15/10/2020,"1045,00","1045,00","0,00",1,1045
16/10/2020,"1040,00","1040,00","-0,48",1,1040
19/10/2020,"1040,00","1040,00","0,00",1,1040
20/10/2020,"1040,00","1040,00","0,00",1,1040
21/10/2020,"1040,00","1040,00","0,00",1,1040
22/10/2020,"1020,00","1020,00","-1,92",11,11220
23/10/2020,"1020,00","1020,00","0,00",1,1020
26/10/2020,"1020,00","1020,00","0,00",1,1020
27/10/2020,"1020,00","1020,00","0,00",1,1020
28/10/2020,"1020,00","1020,00","0,00",1,1020
02/11/2020,"1019,00","1019,00","-0,10",1,1019
03/11/2020,"1020,00","1020,00","0,10",1,1020
04/11/2020,"1019,00","1019,00","-0,10",1,1019
05/11/2020,"1018,00","1018,00","-0,10",1,1018
09/11/2020,"1018,00","1018,00","0,00",1,1018
10/11/2020,"1019,00","1019,00","0,10",9,9171
11/11/2020,"1020,00","1020,00","0,10",1,1020
12/11/2020,"1020,00","1020,00","0,00",1,1020
13/11/2020,"1020,00","1020,00","0,00",1,1020
16/11/2020,"1020,00","1020,00","0,00",1,1020
